.			Cormorant/Overlock		c					.
	IDX	Class	Style	Font	Face	ScaleX	Shrink	Skew	Weight	
	B10	Body	Thin Serif	Cormorant Light	Regular			normal	300	
	B10 									
	B11	Body	Thin Serif Italic	Cormorant Light	Italic			italic	300	
	B11 									
	B30	Body	Light Serif	Cormorant	Regular			normal	400	
	B30 									
	B31	Body	Light Serif Italic	Cormorant	Italic			italic	400	
	B31 									
	B40	Body	Book Serif	Cormorant	Regular			normal	400	
	B40 									
	B41	Body	Book Serif Italic	Cormorant	Italic			italic	400	
	B41 									
	B50	Body	Medium Serif	Cormorant Medium	Regular			normal	500	
	B50 									
	B51	Body	Medium Serif Italic	Cormorant Medium	Italic			italic	500	
	B51 									
	B60	Body	Semibold Serif	Cormorant SemiBold	Regular			normal	600	
	B60 									
	B61	Body	Semibold Serif Italic	Cormorant SemiBold	Italic			italic	600	
	B61 									
	B70	Body	Bold Serif	Cormorant	Bold			normal	700	
	B70 									
	B71	Body	Bold Serif Italic	Cormorant	Bold Italic			italic	700	
	B71 									
	B80	Body	Heavy Serif	Cormorant	Bold			normal	700	
	B80 									
	B81	Body	Heavy Serif Italic	Cormorant	Bold Italic			italic	700	
	B81 									
	B90	Body	Black Serif	Cormorant	Bold			normal	700	
	B90 									
	B91	Body	Black Serif Italic	Cormorant	Bold Italic			italic	700	
	B91 									
	B92	Body	Space after verse	Cormorant	Regular	50		normal	400	
	B92 									
	C40	Caption	Caption Text	Cormorant	Medium			normal	500	
	C40 									
	C41	Caption	Caption Italics	Cormorant	Medium Italic			italic	500	
	C41 									
	C46	Caption	Caption Sans Text	Overlock	Regular	95	94	normal	400	
	C46 									
	C47	Caption	Caption Sans Italics	Overlock	Italic	100	94	italic	400	
	C47 									
	C70	Caption	Caption Bold	Cormorant	Bold			normal	700	
	C70 									
	C71	Caption	Caption Bold Italic	Cormorant	Bold Italic			italic	700	
	C71 									
	C76	Caption	Caption Sans Bold	Overlock	Bold	91	94	normal	700	
	C76 									
	C77	Caption	Caption Sans Bold Italic	Overlock	Bold Italic	98	94	italic	700	
	C77 									
	S10	Sans	Thin Sans	Overlock	Regular	95	94	normal	400	
	S10 									
	S11	Sans	Thin Sans Italic	Overlock	Italic	100	94	italic	400	
	S11 									
	S30	Sans	Light Sans	Overlock	Regular	95	94	normal	400	
	S30 									
	S31	Sans	Light Sans Italic	Overlock	Italic	100	94	italic	400	
	S31 									
	S40	Sans	Book Sans	Overlock	Regular	95	94	normal	400	
	S40 									
	S41	Sans	Book Sans Italic	Overlock	Italic	100	94	italic	400	
	S41 									
	S50	Sans	Medium Sans	Overlock	Regular	95	94	normal	400	
	S50 									
	S51	Sans	Medium Sans Italic	Overlock	Italic	100	94	italic	400	
	S51 									
	S60	Sans	Semibold Sans	Overlock	Bold	91	94	normal	700	
	S60 									
	S61	Sans	Semibold Sans Italic	Overlock	Bold Italic	98	94	italic	700	
	S61 									
	S70	Sans	Bold Sans	Overlock	Bold	91	94	normal	700	
	S70 									
	S71	Sans	Bold Sans Italic	Overlock	Bold Italic	98	94	italic	700	
	S71 									
	S80	Sans	Heavy Sans	Overlock Black	Regular	91	94	normal	700	
	S80 									
	S81	Sans	Heavy Sans Italic	Overlock Black	Italic	98	94	italic	700	
	S81 									
	S90	Sans	Black Sans	Overlock Black	Regular	91	94	normal	900	
	S90 									
	S91	Sans	Black Sans Italic	Overlock Black	Black Italic	98	94	italic	900	
	S91 									
	T10	Title	Thin Title	Roboto Slab Thin	Regular	90	90	normal	250	
	T10 									
	T11	Title	Thin Title Italics	Roboto Slab Thin	Regular	90	90	italic	250	
	T11 									
	T30	Title	Light Title	Roboto Slab Light	Regular	90	90	normal	300	
	T30 									
	T31	Title	Light Title Italic	Roboto Slab Light	Regular	90	90	italic	300	
	T31 									
	T40	Title	Regular Title	Roboto Slab Light	Regular	90	90	normal	300	
	T40 									
	T41	Title	Regular Title Italic	Roboto Slab Light	Regular	90	90	italic	300	
	T41 									
	T50	Title	Medium Title	Roboto Slab	Regular	90	89	normal	400	
	T50 									
	T51	Title	Medium Title Italic	Roboto Slab	Regular	90	88	italic	400	
	T51 									
	T60	Title	Semibold Title	Roboto Slab	Regular	90	89	normal	400	
	T60 									
	T61	Title	Semibold Title Italic	Roboto Slab	Regular	90	88	italic	400	
	T61 									
	T70	Title	Bold Title	Roboto Slab	Bold	90	90	normal	700	
	T70 									
	T71	Title	Bold Title Italic	Roboto Slab	Bold	90	90	italic	700	
	T71 									
	T80	Title	Heavy Title	Roboto Slab	Bold	90	90	normal	700	
	T80 									
	T81	Title	Heavy Title Italic	Roboto Slab	Bold	90	90	italic	700	
	T81 									
	T90	Title	Black Title	Roboto Slab	Bold	90	90	normal	700	
	T90 									
	T91	Title	Black Title Italic	Roboto Slab	Bold	90	90	italic	700	
	T91 									
	V30	Verse	Light Pen	KG Part of Me	Regular	81	91	normal	400	
	V30 									
	V31	Verse	Light Pen Cursive	Frangipani Rose	Regular	91	91	normal	400	
	V31 									
	V50	Verse	Medium Pen	KG First Time in Forever	Regular	93	91	normal	400	
	V50 									
	V51	Verse	Medium Pen Cursive	KG The Fighter	Regular	74	87	normal	400	
	V51 									
	V70	Verse	Bold Pen	KG What the Teacher Wants	Regular	89	91	normal	400	
	V70 									
	V71	Verse	Bold Pen Cursive	KG Legacy of Virtue	Regular	91	91	normal	400	
	V71 									
										.
