.			Zilla		c					.
	IDX	Class	Style	Font	Face	ScaleX	Shrink	Skew	Weight	
	B10	Body	Thin Serif	Zilla Slab Light	Regular			normal	300	
	B10 									
	B11	Body	Thin Serif Italic	Zilla Slab Light	Italic			normal	300	
	B11 									
	B30	Body	Light Serif	Zilla Slab Light	Regular			normal	300	
	B30 									
	B31	Body	Light Serif Italic	Zilla Slab Light	Italic			normal	300	
	B31 									
	B40	Body	Book Serif	Zilla Slab	Regular			normal	400	
	B40 									
	B41	Body	Book Serif Italic	Zilla Slab	Italic			normal	400	
	B41 									
	B50	Body	Medium Serif	Zilla Slab Medium	Regular			normal	500	
	B50 									
	B51	Body	Medium Serif Italic	Zilla Slab Medium	Italic			normal	500	
	B51 									
	B60	Body	Semibold Serif	Zilla Slab SemiBold	Regular			normal	600	
	B60 									
	B61	Body	Semibold Serif Italic	Zilla Slab SemiBold	Italic			normal	600	
	B61 									
	B70	Body	Bold Serif	Zilla Slab	Bold			normal	700	
	B70 									
	B71	Body	Bold Serif Italic	Zilla Slab	Bold Italic			normal	700	
	B71 									
	B80	Body	Heavy Serif	Zilla Slab	Bold			normal	700	
	B80 									
	B81	Body	Heavy Serif Italic	Zilla Slab	Bold Italic			normal	700	
	B81 									
	B90	Body	Black Serif	Zilla Slab	Bold			normal	700	
	B90 									
	B91	Body	Black Serif Italic	Zilla Slab	Bold Italic			normal	700	
	B91 									
	B92	Body	Space after verse	Zilla Slab	Regular	50		normal	400	
	B92 									
	C40	Caption	Caption Text	Zilla Slab Medium	Regular			normal	500	
	C40 									
	C41	Caption	Caption Italics	Zilla Slab Medium	Italic			normal	500	
	C41 									
	C46	Caption	Caption Sans Text	Zilla Slab Medium	Regular			normal	500	
	C46 									
	C47	Caption	Caption Sans Italics	Zilla Slab Medium	Italic			normal	500	
	C47 									
	C70	Caption	Caption Bold	Zilla Slab Medium	Bold			normal	700	
	C70 									
	C71	Caption	Caption Bold Italic	Zilla Slab Medium	Bold Italic			normal	700	
	C71 									
	C76	Caption	Caption Sans Bold	Zilla Slab Medium	Bold			normal	700	
	C76 									
	C77	Caption	Caption Sans Bold Italic	Zilla Slab Medium	Bold Italic			normal	700	
	C77 									
	S10	Sans	Thin Sans	Zilla Slab Light	Regular			normal	300	
	S10 									
	S11	Sans	Thin Sans Italic	Zilla Slab Light	Italic			normal	300	
	S11 									
	S30	Sans	Light Sans	Zilla Slab Light	Regular			normal	300	
	S30 									
	S31	Sans	Light Sans Italic	Zilla Slab Light	Italic			normal	300	
	S31 									
	S40	Sans	Book Sans	Zilla Slab	Regular			normal	400	
	S40 									
	S41	Sans	Book Sans Italic	Zilla Slab	Italic			normal	400	
	S41 									
	S50	Sans	Medium Sans	Zilla Slab Medium	Regular			normal	500	
	S50 									
	S51	Sans	Medium Sans Italic	Zilla Slab Medium	Italic			normal	500	
	S51 									
	S60	Sans	Semibold Sans	Zilla Slab SemiBold	Regular			normal	600	
	S60 									
	S61	Sans	Semibold Sans Italic	Zilla Slab SemiBold	Italic			normal	600	
	S61 									
	S70	Sans	Bold Sans	Zilla Slab	Bold			normal	700	
	S70 									
	S71	Sans	Bold Sans Italic	Zilla Slab	Bold Italic			normal	700	
	S71 									
	S80	Sans	Heavy Sans	Zilla Slab	Bold			normal	700	
	S80 									
	S81	Sans	Heavy Sans Italic	Zilla Slab	Bold Italic			normal	700	
	S81 									
	S90	Sans	Black Sans	Zilla Slab	Bold			normal	700	
	S90 									
	S91	Sans	Black Sans Italic	Zilla Slab	Bold Italic			normal	700	
	S91 									
	T10	Title	Thin Title	Zilla Slab Light	Regular			normal	300	
	T10 									
	T11	Title	Thin Title Italic	Zilla Slab Light	Italic			normal	300	
	T11 									
	T30	Title	Light Title	Zilla Slab Light	Regular			normal	300	
	T30 									
	T31	Title	Light Title Italic	Zilla Slab Light	Italic			normal	300	
	T31 									
	T40	Title	Regular Title	Zilla Slab	Regular			normal	400	
	T40 									
	T41	Title	Regular Title Italic	Zilla Slab	Italic			normal	400	
	T41 									
	T50	Title	Medium Title	Zilla Slab Medium	Regular			normal	500	
	T50 									
	T51	Title	Medium Title Italic	Zilla Slab Medium	Italic			normal	500	
	T51 									
	T60	Title	Semibold Title	Zilla Slab SemiBold	Regular			normal	600	
	T60 									
	T61	Title	Semibold Title Italic	Zilla Slab SemiBold	Italic			normal	600	
	T61 									
	T70	Title	Bold Title	Zilla Slab	Bold			normal	700	
	T70 									
	T71	Title	Bold Title Italic	Zilla Slab	Bold Italic			normal	700	
	T71 									
	T80	Title	Heavy Title	Zilla Slab	Bold			normal	700	
	T80 									
	T81	Title	Heavy Title Italic	Zilla Slab	Bold Italic			normal	700	
	T81 									
	T90	Title	Black Title	Zilla Slab	Bold			normal	700	
	T90 									
	T91	Title	Black Title Italic	Zilla Slab	Bold Italic			normal	700	
	T91 									
	V30	Verse	Light Pen	Zilla Slab Light	Italic			normal	300	
	V30 									
	V31	Verse	Light Pen Cursive	Zilla Slab	Italic			normal	400	
	V31 									
	V50	Verse	Medium Pen	Zilla Slab Medium	Italic			normal	500	
	V50 									
	V51	Verse	Medium Pen Cursive	Zilla Slab SemiBold	Italic			normal	600	
	V51 									
	V70	Verse	Bold Pen	Zilla Slab	Bold Italic			normal	700	
	V70 									
	V71	Verse	Bold Pen Cursive	Zilla Slab	Bold Italic			normal	700	
	V71 									
										.
